eventID,sceneID,speakerID,The Ancient One (1),Kaecilius (2),Stephen Strange (3),Billy (4),Christine Palmer (5),Nicodemus West (6),Jonathan Pangborn (7),Mordo (8),Wong (9),Daniel Drumm (10),Dormammu (11),Thor (12)
234,18,9,0,0,1,0,0,0,0,0,0,0,0,0
235,18,3,0,0,0,0,0,0,0,0,1,0,0,0
236,18,3,0,0,0,0,0,0,0,0,1,0,0,0
237,18,9,0,0,1,0,0,0,0,0,0,0,0,0
238,18,3,0,0,0,0,0,0,0,0,1,0,0,0
239,19,8,0,0,1,0,0,0,0,0,0,0,0,0
240,19,8,0,0,1,0,0,0,0,0,0,0,0,0
241,19,1,0,0,0,0,0,0,0,1,0,0,0,0
242,19,8,1,0,0,0,0,0,0,0,0,0,0,0
243,19,3,1,0,0,0,0,0,0,0,0,0,0,0
244,19,1,0,0,1,0,0,0,0,0,0,0,0,0
245,19,3,1,0,0,0,0,0,0,0,0,0,0,0
246,19,1,0,0,1,0,0,0,0,0,0,0,0,0
247,19,1,0,0,1,0,0,0,0,0,0,0,0,0
248,19,3,1,0,0,0,0,0,0,0,0,0,0,0
249,19,1,0,0,1,0,0,0,0,0,0,0,0,0
250,19,1,0,0,1,0,0,0,0,0,0,0,0,0
251,19,3,1,0,0,0,0,0,0,0,0,0,0,0
252,19,1,0,0,1,0,0,0,0,0,0,0,0,0
253,19,3,1,0,0,0,0,0,0,0,0,0,0,0
254,19,1,0,0,1,0,0,0,0,0,0,0,0,0
255,19,3,1,0,0,0,0,0,0,0,0,0,0,0
256,19,1,0,0,1,0,0,0,0,0,0,0,0,0
257,19,3,1,0,0,0,0,0,0,0,0,0,0,0
258,19,1,0,0,1,0,0,0,0,0,0,0,0,0
259,20,8,1,0,0,0,0,0,0,0,0,0,0,0
260,20,1,0,0,0,0,0,0,0,1,0,0,0,0
261,20,8,1,0,0,0,0,0,0,0,0,0,0,0
262,20,8,1,0,0,0,0,0,0,0,0,0,0,0
263,21,9,0,0,1,0,0,0,0,0,0,0,0,0
264,21,3,0,0,0,0,0,0,0,0,1,0,0,0
265,21,9,0,0,1,0,0,0,0,0,0,0,0,0
266,21,3,0,0,0,0,0,0,0,0,1,0,0,0
267,21,9,0,0,1,0,0,0,0,0,0,0,0,0
268,21,3,0,0,0,0,0,0,0,0,1,0,0,0
269,21,3,0,0,0,0,0,0,0,0,1,0,0,0
270,21,3,0,0,0,0,0,0,0,0,1,0,0,0
271,21,9,0,0,1,0,0,0,0,0,0,0,0,0
272,22,1,0,0,1,0,0,0,0,0,0,0,0,0
273,22,3,1,0,0,0,0,0,0,0,0,0,0,0
274,22,1,0,0,1,0,0,0,0,0,0,0,0,0
275,22,3,1,0,0,0,0,0,0,0,0,0,0,0
276,22,1,0,0,1,0,0,0,0,0,0,0,0,0
277,22,1,0,0,1,0,0,0,0,0,0,0,0,0
278,22,3,1,0,0,0,0,0,0,0,0,0,0,0
279,22,1,0,0,1,0,0,0,0,0,0,0,0,0
280,23,3,0,0,0,0,0,0,0,1,0,0,0,0
281,23,8,0,0,1,0,0,0,0,0,0,0,0,0
282,23,3,0,0,0,0,0,0,0,1,0,0,0,0
283,23,8,0,0,1,0,0,0,0,0,0,0,0,0
284,23,8,0,0,1,0,0,0,0,0,0,0,0,0
285,23,3,0,0,0,0,0,0,0,1,0,0,0,0
286,23,8,0,0,1,0,0,0,0,0,0,0,0,0
287,23,3,0,0,0,0,0,0,0,1,0,0,0,0
288,23,8,0,0,1,0,0,0,0,0,0,0,0,0
289,23,8,0,0,1,0,0,0,0,0,0,0,0,0
290,23,3,0,0,0,0,0,0,0,1,0,0,0,0
291,23,8,0,0,1,0,0,0,0,0,0,0,0,0
292,23,3,0,0,0,0,0,0,0,1,0,0,0,0
293,23,8,0,0,1,0,0,0,0,0,0,0,0,0
294,23,3,0,0,0,0,0,0,0,1,0,0,0,0
295,23,8,0,0,1,0,0,0,0,0,0,0,0,0
296,23,8,0,0,1,0,0,0,0,0,0,0,0,0
297,23,8,0,0,1,0,0,0,0,0,0,0,0,0
298,23,3,0,0,0,0,0,0,0,1,0,0,0,0
299,23,8,0,0,1,0,0,0,0,0,0,0,0,0
300,23,3,0,0,0,0,0,0,0,1,0,0,0,0
301,23,8,0,0,1,0,0,0,0,0,0,0,0,0
302,23,8,0,0,1,0,0,0,0,0,0,0,0,0
303,23,8,0,0,1,0,0,0,0,0,0,0,0,0
304,24,8,0,0,1,0,0,0,0,0,0,0,0,0
305,24,3,0,0,0,0,0,0,0,1,0,0,0,0
306,24,9,0,0,1,0,0,0,0,0,0,0,0,0
307,24,3,0,0,0,0,0,0,0,0,1,0,0,0
308,24,8,0,0,1,0,0,0,0,0,0,0,0,0
309,24,3,0,0,0,0,0,0,0,1,1,0,0,0
310,24,9,0,0,1,0,0,0,0,0,0,0,0,0
311,24,8,0,0,1,0,0,0,0,0,0,0,0,0
312,24,3,0,0,0,0,0,0,0,1,0,0,0,0
313,24,8,0,0,1,0,0,0,0,0,0,0,0,0
314,24,3,0,0,0,0,0,0,0,1,1,0,0,0
315,24,9,0,0,1,0,0,0,0,0,0,0,0,0
316,24,3,0,0,0,0,0,0,0,0,1,0,0,0
317,24,8,0,0,1,0,0,0,0,0,0,0,0,0
318,24,3,0,0,0,0,0,0,0,1,0,0,0,0
319,24,9,0,0,1,0,0,0,0,0,0,0,0,0
320,24,9,0,0,1,0,0,0,0,0,0,0,0,0
321,24,8,0,0,1,0,0,0,0,0,0,0,0,0
322,24,3,0,0,0,0,0,0,0,1,1,0,0,0
323,24,9,0,0,1,0,0,0,0,0,0,0,0,0
324,24,3,0,0,0,0,0,0,0,0,1,0,0,0
325,24,8,0,0,1,0,0,0,0,0,0,0,0,0
326,24,3,0,0,0,0,0,0,0,1,0,0,0,0
327,24,9,0,0,1,0,0,0,0,0,0,0,0,0
328,24,3,0,0,0,0,0,0,0,1,1,0,0,0
329,24,9,0,0,1,0,0,0,0,0,0,0,0,0
330,24,3,0,0,0,0,0,0,0,1,1,0,0,0
331,24,8,0,1,0,0,0,0,0,0,0,0,0,0
332,25,2,0,0,0,0,0,0,0,0,0,1,0,0
333,25,10,0,1,0,0,0,0,0,0,0,0,0,0
334,25,2,0,0,0,0,0,0,0,0,0,1,0,0
335,25,3,0,1,0,0,0,0,0,0,0,0,0,0
336,25,2,0,0,1,0,0,0,0,0,0,0,0,0
337,25,3,0,1,0,0,0,0,0,0,0,0,0,0
338,25,2,0,0,1,0,0,0,0,0,0,0,0,0
339,25,3,0,1,0,0,0,0,0,0,0,0,0,0
340,25,2,0,0,1,0,0,0,0,0,0,0,0,0
341,25,2,0,0,1,0,0,0,0,0,0,0,0,0
342,25,3,0,1,0,0,0,0,0,0,0,0,0,0
343,25,2,0,0,1,0,0,0,0,0,0,0,0,0
344,25,3,0,1,0,0,0,0,0,0,0,0,0,0
345,25,2,0,0,1,0,0,0,0,0,0,0,0,0
346,25,3,0,1,0,0,0,0,0,0,0,0,0,0
347,25,2,0,0,1,0,0,0,0,0,0,0,0,0
348,25,3,0,1,0,0,0,0,0,0,0,0,0,0
349,25,2,0,0,1,0,0,0,0,0,0,0,0,0
350,25,3,0,1,0,0,0,0,0,0,0,0,0,0
351,25,2,0,0,1,0,0,0,0,0,0,0,0,0
352,25,3,0,1,0,0,0,0,0,0,0,0,0,0
353,25,2,0,0,1,0,0,0,0,0,0,0,0,0
354,25,3,0,1,0,0,0,0,0,0,0,0,0,0
355,25,2,0,0,1,0,0,0,0,0,0,0,0,0
356,25,3,0,1,0,0,0,0,0,0,0,0,0,0
357,25,2,0,0,1,0,0,0,0,0,0,0,0,0
358,25,3,0,1,0,0,0,0,0,0,0,0,0,0
359,25,2,0,0,1,0,0,0,0,0,0,0,0,0
360,25,3,0,1,0,0,0,0,0,0,0,0,0,0
361,25,2,0,0,1,0,0,0,0,0,0,0,0,0
362,25,2,0,0,1,0,0,0,0,0,0,0,0,0
363,25,3,0,1,0,0,0,0,0,0,0,0,0,0
364,25,2,0,0,1,0,0,0,0,0,0,0,0,0
365,25,3,0,1,0,0,0,0,0,0,0,0,0,0
366,25,2,0,0,1,0,0,0,0,0,0,0,0,0
367,25,3,0,1,0,0,0,0,0,0,0,0,0,0
368,25,3,0,1,0,0,0,0,0,0,0,0,0,0
369,25,2,0,0,1,0,0,0,0,0,0,0,0,0
370,26,3,0,0,0,0,1,0,0,0,0,0,0,0
371,26,5,0,0,1,0,0,0,0,0,0,0,0,0
372,26,3,0,0,0,0,1,0,0,0,0,0,0,0
373,26,5,0,0,1,0,0,0,0,0,0,0,0,0
374,26,3,0,0,0,0,1,0,0,0,0,0,0,0
375,26,5,0,0,1,0,0,0,0,0,0,0,0,0
376,26,3,0,0,0,0,1,0,0,0,0,0,0,0
377,26,5,0,0,1,0,0,0,0,0,0,0,0,0
378,26,5,0,0,1,0,0,0,0,0,0,0,0,0
379,26,3,0,0,0,0,1,0,0,0,0,0,0,0
380,26,3,0,0,0,0,1,0,0,0,0,0,0,0
381,26,3,0,0,0,0,1,0,0,0,0,0,0,0
382,26,5,0,0,1,0,0,0,0,0,0,0,0,0
383,26,3,0,0,0,0,1,0,0,0,0,0,0,0
384,26,5,0,0,1,0,0,0,0,0,0,0,0,0
385,26,3,0,0,0,0,1,0,0,0,0,0,0,0
386,26,5,0,0,1,0,0,0,0,0,0,0,0,0
387,26,5,0,0,1,0,0,0,0,0,0,0,0,0
388,26,3,0,0,0,0,1,0,0,0,0,0,0,0
389,26,3,0,0,0,0,1,0,0,0,0,0,0,0
390,26,5,0,0,1,0,0,0,0,0,0,0,0,0
391,26,3,0,0,0,0,1,0,0,0,0,0,0,0
392,26,3,0,0,0,0,1,0,0,0,0,0,0,0
393,26,5,0,0,1,0,0,0,0,0,0,0,0,0
394,26,3,0,0,0,0,1,0,0,0,0,0,0,0
395,26,5,0,0,1,0,0,0,0,0,0,0,0,0
396,26,3,0,0,0,0,1,0,0,0,0,0,0,0
397,26,5,0,0,1,0,0,0,0,0,0,0,0,0
398,26,5,0,0,1,0,0,0,0,0,0,0,0,0
399,26,3,0,0,0,0,1,0,0,0,0,0,0,0
400,27,5,0,0,1,0,0,0,0,0,0,0,0,0
401,27,3,0,0,0,0,1,0,0,0,0,0,0,0
