eventID,sceneID,speakerID,Parker (1),Brett (2),Kane (3),Dallas (4),Ash (5),Ripley (6),Lambert (7)
431,28,6,1,0,0,0,0,0,0
432,28,1,0,0,0,0,0,1,0
433,28,6,1,1,0,0,0,0,0
434,28,1,0,1,0,0,0,0,0
435,28,2,1,0,0,0,0,0,0
436,28,1,0,1,0,0,0,0,0
437,28,2,1,0,0,0,0,0,0
438,28,1,0,1,0,0,0,0,0
439,28,6,0,1,0,0,0,0,0
440,29,1,0,0,0,1,1,1,1
441,29,4,1,0,0,0,0,1,0
442,29,6,0,0,0,1,0,0,0
443,29,1,0,0,0,1,0,0,0
444,29,7,0,0,0,0,0,1,0
445,29,6,0,0,0,0,0,0,1
446,29,7,0,0,0,0,0,1,0
447,29,6,0,0,0,0,0,0,1
448,29,4,1,0,0,0,1,1,1
449,29,1,0,0,0,1,0,0,0
450,29,5,1,0,0,1,0,1,1
451,29,6,0,0,0,0,1,0,0
452,29,5,0,0,0,0,0,1,0
453,29,6,0,0,0,0,1,0,0
454,29,5,1,0,0,1,0,1,1
455,29,4,0,0,0,0,1,0,0
456,29,4,1,0,0,0,0,0,0
457,29,1,0,0,0,1,0,0,0
458,29,7,1,0,0,1,1,1,0
459,29,6,0,0,0,0,0,0,1
460,29,4,0,0,0,0,1,1,0
461,29,4,1,0,0,0,0,0,1
462,30,4,1,0,0,0,1,1,1
463,30,6,0,0,0,1,0,0,0
464,30,4,1,0,0,0,0,0,0
465,30,1,0,0,0,1,0,0,0
466,30,4,0,0,0,0,0,0,1
467,30,7,0,0,0,1,0,0,0
468,30,6,0,0,0,1,0,0,0
469,30,4,0,0,0,0,0,1,0
470,30,6,0,0,0,1,0,0,0
471,30,4,0,0,0,0,0,1,0
472,30,4,0,0,0,0,0,1,0
473,30,6,0,0,0,1,0,0,0
474,30,4,0,0,0,0,0,1,0
475,30,7,0,0,0,1,0,0,0
476,30,7,0,0,0,1,0,0,0
477,30,4,0,0,0,0,0,0,1
478,30,7,0,0,0,1,0,0,0
479,30,4,0,0,0,0,0,0,1
480,30,7,0,0,0,1,0,0,0
481,30,4,1,0,0,0,1,1,1
482,30,1,0,0,0,0,0,0,1
483,30,7,0,0,0,1,0,0,0
484,30,4,0,0,0,0,0,0,1
485,30,7,0,0,0,1,0,0,0
486,30,4,0,0,0,0,0,0,1
487,30,7,0,0,0,1,0,0,0
488,30,6,0,0,0,1,0,0,0
489,30,4,1,0,0,0,1,1,1
490,30,4,0,0,0,0,0,0,1
491,30,7,0,0,0,1,0,0,0
492,30,7,0,0,0,1,0,0,0
493,30,7,0,0,0,1,0,0,0
494,30,7,0,0,0,1,0,0,0
495,30,1,0,0,0,0,0,0,1
496,30,1,0,0,0,1,0,0,0
497,31,1,0,0,0,0,1,1,1
498,31,1,0,0,0,0,1,1,1
499,31,6,1,0,0,0,0,0,0
500,31,6,1,0,0,0,1,0,1
501,31,7,0,0,0,0,0,1,0
502,31,6,0,0,0,0,0,0,1
503,31,7,0,0,0,0,0,1,0
504,31,6,0,0,0,0,0,0,1
505,31,7,0,0,0,0,0,1,0
506,31,1,0,0,0,0,0,0,1
507,31,6,1,0,0,0,1,0,1
508,31,6,1,0,0,0,0,0,0
509,31,1,0,0,0,0,0,1,0
510,31,6,1,0,0,0,1,0,1
511,31,1,0,0,0,0,0,1,0
512,31,6,1,0,0,0,1,0,1
513,31,1,0,0,0,0,0,1,0
514,31,6,1,0,0,0,0,0,0
515,31,6,1,0,0,0,1,0,1
516,31,6,1,0,0,0,1,0,1
517,31,1,0,0,0,0,0,1,0
518,31,6,1,0,0,0,0,0,0
519,31,6,0,0,0,0,1,0,0
520,31,1,0,0,0,0,1,0,0
521,31,6,0,0,0,0,1,0,0
522,31,5,0,0,0,0,0,1,0
523,31,6,0,0,0,0,1,0,0
524,31,5,0,0,0,0,0,1,0
525,31,6,0,0,0,0,1,0,0
526,31,5,0,0,0,0,0,1,0
527,32,5,0,0,0,0,0,1,0
528,32,6,0,0,0,0,1,0,0
529,32,6,0,0,0,0,1,0,0
530,32,6,0,0,0,0,1,0,0
531,32,6,0,0,0,0,1,0,0
532,32,1,0,0,0,0,1,0,0
533,32,1,0,0,0,0,0,0,1
534,32,1,0,0,0,0,0,0,1
535,32,1,0,0,0,0,0,0,1
536,33,1,0,0,0,0,0,1,1
537,33,6,1,0,0,0,0,0,1
538,33,6,1,0,0,0,0,0,0
539,33,1,0,0,0,0,0,1,0
540,33,6,1,0,0,0,0,0,0
541,33,6,0,0,0,0,1,0,0
542,33,6,0,0,0,0,1,0,0
543,33,5,0,0,0,0,0,1,0
544,33,6,0,0,0,0,1,0,0
545,33,5,0,0,0,0,0,1,0
546,33,6,0,0,0,0,1,0,0
547,33,5,0,0,0,0,0,1,0
548,33,1,0,0,0,0,1,0,0
549,33,5,1,0,0,0,0,0,0
550,33,6,0,0,0,0,1,0,0
551,33,5,0,0,0,0,0,1,0
552,33,1,0,0,0,0,1,0,0
553,33,5,1,0,0,0,0,1,1
554,33,5,1,0,0,0,0,1,1
555,33,7,0,0,0,0,1,0,0
556,33,5,0,0,0,0,0,0,1
557,33,1,0,0,0,0,0,1,0
558,33,5,0,0,0,0,0,1,0
559,33,6,0,0,0,0,1,0,0
560,33,5,1,0,0,0,0,1,1
561,33,6,1,0,0,0,0,0,1
562,33,6,1,0,0,0,0,0,1
563,33,1,0,0,0,0,0,1,0
564,33,1,0,0,0,0,0,0,1
565,34,6,1,0,0,0,0,0,0
566,34,1,0,0,0,0,0,1,0
567,34,6,1,0,0,0,0,0,0
568,34,1,0,0,0,0,0,1,0
569,34,6,1,0,0,0,0,0,1
570,34,6,1,0,0,0,0,0,1
571,34,1,0,0,0,0,0,1,1
572,34,6,1,0,0,0,0,0,1
573,34,1,0,0,0,0,0,1,0
574,34,6,1,0,0,0,0,0,1
575,35,1,0,0,0,0,0,0,1
576,35,1,0,0,0,0,0,0,1
577,35,7,1,0,0,0,0,0,0
578,35,1,0,0,0,0,0,0,1
579,35,7,1,0,0,0,0,0,0
580,35,1,0,0,0,0,0,0,1
581,35,7,1,0,0,0,0,0,0
582,35,1,0,0,0,0,0,0,1
583,35,1,0,0,0,0,0,0,1
584,35,1,0,0,0,0,0,0,1
