eventID,sceneID,speakerID,Bruce Banner (1),Kathleen Sparr (2),General Ross (3),Joe Greller (4),Emil Blonsky (5),Martina (6),Stanley (7),Betty Ross (8),Leonard Samson (9),Samuel Sterns (10),Tony Stark (11)
274,42,10,0,0,0,0,1,0,0,0,0,0,0
275,43,10,0,0,0,0,1,0,0,0,0,0,0
276,44,1,0,0,0,0,0,0,0,1,0,0,0
277,44,1,0,0,1,0,0,0,0,0,0,0,0
278,44,8,0,0,1,0,0,0,0,0,0,0,0
279,45,1,0,0,1,0,0,0,0,0,0,0,0
280,45,8,1,0,0,0,0,0,0,0,0,0,0
281,45,1,0,0,0,0,0,0,0,1,0,0,0
282,45,3,1,0,0,0,0,0,0,0,0,0,0
283,45,1,0,0,1,0,0,0,0,0,0,0,0
284,45,1,0,0,1,0,0,0,0,0,0,0,0
285,45,8,1,0,0,0,0,0,0,0,0,0,0
286,45,3,0,0,0,0,0,0,0,1,0,0,0
287,46,5,1,0,0,0,0,0,0,0,0,0,0
288,46,5,1,0,0,0,0,0,0,0,0,0,0
289,47,8,0,0,1,0,0,0,0,0,0,0,0
290,47,3,0,0,0,0,0,0,0,1,0,0,0
291,47,5,1,0,0,0,0,0,0,0,0,0,0
292,47,8,1,0,0,0,0,0,0,0,0,0,0
293,47,5,0,0,1,0,0,0,0,0,0,0,0
294,47,1,0,0,0,0,1,0,0,0,0,0,0
295,47,8,1,0,0,0,0,0,0,0,0,0,0
296,47,8,1,0,0,0,0,0,0,0,0,0,0
297,47,1,0,0,0,0,0,0,0,1,0,0,0
298,48,11,0,0,1,0,0,0,0,0,0,0,0
299,48,3,0,0,0,0,0,0,0,0,0,0,1
300,48,11,0,0,1,0,0,0,0,0,0,0,0
301,48,3,0,0,0,0,0,0,0,0,0,0,1
302,48,11,0,0,1,0,0,0,0,0,0,0,0
303,48,3,0,0,0,0,0,0,0,0,0,0,1
304,48,11,0,0,1,0,0,0,0,0,0,0,0
305,48,3,0,0,0,0,0,0,0,0,0,0,1
